id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;Kommunedata;requests;1566897364.477162;-33.76370620727539;https://dawa.aws.dk/kommuner/101;https://dawa.aws.dk/kommuner/101;540;200;True;
1;Kommunedata;requests;1566897399.246382;-0.9983079433441162;https://dawa.aws.dk/kommuner/147;https://dawa.aws.dk/kommuner/147;545;200;True;
2;Kommunedata;requests;1566897401.248842;-0.27404212951660156;https://dawa.aws.dk/kommuner/161;https://dawa.aws.dk/kommuner/161;540;200;True;
3;Kommunedata;requests;1566897402.531733;-0.04861903190612793;https://dawa.aws.dk/kommuner/165;https://dawa.aws.dk/kommuner/165;543;200;True;
4;Kommunedata;requests;1566897403.5881422;-0.13742685317993164;https://dawa.aws.dk/kommuner/153;https://dawa.aws.dk/kommuner/153;538;200;True;
5;Kommunedata;requests;1566897404.727987;-0.5290839672088623;https://dawa.aws.dk/kommuner/175;https://dawa.aws.dk/kommuner/175;538;200;True;
6;Kommunedata;requests;1566897406.262862;-0.5933799743652344;https://dawa.aws.dk/kommuner/167;https://dawa.aws.dk/kommuner/167;539;200;True;
7;Kommunedata;requests;1566897407.8635771;-0.1331620216369629;https://dawa.aws.dk/kommuner/187;https://dawa.aws.dk/kommuner/187;541;200;True;
8;Kommunedata;requests;1566897409.0025;-0.13420987129211426;https://dawa.aws.dk/kommuner/169;https://dawa.aws.dk/kommuner/169;545;200;True;
9;Kommunedata;requests;1566897410.1464498;-0.06533312797546387;https://dawa.aws.dk/kommuner/183;https://dawa.aws.dk/kommuner/183;535;200;True;
10;Kommunedata;requests;1566897411.2193332;-0.10498380661010742;https://dawa.aws.dk/kommuner/253;https://dawa.aws.dk/kommuner/253;533;200;True;
11;Kommunedata;requests;1566897412.333764;-0.06128191947937012;https://dawa.aws.dk/kommuner/269;https://dawa.aws.dk/kommuner/269;534;200;True;
12;Kommunedata;requests;1566897413.400782;-6.828546762466431;https://dawa.aws.dk/kommuner/163;https://dawa.aws.dk/kommuner/163;538;200;True;
13;Kommunedata;requests;1566897421.230565;-1.569870948791504;https://dawa.aws.dk/kommuner/151;https://dawa.aws.dk/kommuner/151;539;200;True;
14;Kommunedata;requests;1566897423.801918;-30.009288787841797;https://dawa.aws.dk/kommuner/240;;0;;False;HTTPSConnectionPool(host='dawa.aws.dk', port=443): Read timed out. (read timeout=30)
15;Kommunedata;requests;1566897454.312147;-2.483422040939331;https://dawa.aws.dk/kommuner/240;https://dawa.aws.dk/kommuner/240;538;200;True;
16;Kommunedata;requests;1566897457.804033;-0.14606285095214844;https://dawa.aws.dk/kommuner/185;https://dawa.aws.dk/kommuner/185;538;200;True;
17;Kommunedata;requests;1566897458.9591942;-0.22539067268371582;https://dawa.aws.dk/kommuner/155;https://dawa.aws.dk/kommuner/155;538;200;True;
18;Kommunedata;requests;1566897460.188867;-0.12669992446899414;https://dawa.aws.dk/kommuner/173;https://dawa.aws.dk/kommuner/173;546;200;True;
19;Kommunedata;requests;1566897461.317716;-0.1489269733428955;https://dawa.aws.dk/kommuner/159;https://dawa.aws.dk/kommuner/159;540;200;True;
20;Kommunedata;requests;1566897462.470282;-0.08724689483642578;https://dawa.aws.dk/kommuner/157;https://dawa.aws.dk/kommuner/157;540;200;True;
21;Kommunedata;requests;1566897463.5634828;-0.11953616142272949;https://dawa.aws.dk/kommuner/230;https://dawa.aws.dk/kommuner/230;541;200;True;
22;Kommunedata;requests;1566897464.6917171;-0.20667481422424316;https://dawa.aws.dk/kommuner/223;https://dawa.aws.dk/kommuner/223;537;200;True;
23;Kommunedata;requests;1566897465.903799;-0.12392592430114746;https://dawa.aws.dk/kommuner/210;https://dawa.aws.dk/kommuner/210;541;200;True;
24;Kommunedata;requests;1566897467.032489;-0.27982497215270996;https://dawa.aws.dk/kommuner/217;https://dawa.aws.dk/kommuner/217;540;200;True;
25;Kommunedata;requests;1566897468.320266;-0.34179186820983887;https://dawa.aws.dk/kommuner/270;https://dawa.aws.dk/kommuner/270;539;200;True;
26;Kommunedata;requests;1566897469.6718779;-0.18877410888671875;https://dawa.aws.dk/kommuner/260;https://dawa.aws.dk/kommuner/260;539;200;True;
27;Kommunedata;requests;1566897470.866213;-0.11053085327148438;https://dawa.aws.dk/kommuner/219;https://dawa.aws.dk/kommuner/219;540;200;True;
28;Kommunedata;requests;1566897471.985632;-0.1646568775177002;https://dawa.aws.dk/kommuner/201;https://dawa.aws.dk/kommuner/201;538;200;True;
