"Folketal den 1. i kvartalet efter område og tid"

" ";"2019K3"
"København";626508
"Frederiksberg";103725
"Dragør";14394
"Tårnby";43018
"Albertslund";27750
"Ballerup";48421
"Brøndby";35104
"Gentofte";75055
"Gladsaxe";69489
"Glostrup";22891
"Herlev";29000
"Hvidovre";53529
"Høje-Taastrup";50853
"Ishøj";22988
"Lyngby-Taarbæk";56088
"Rødovre";40478
"Vallensbæk";16671
"Allerød";25729
"Egedal";43383
"Fredensborg";40867
"Frederikssund";45370
"Furesø";41159
"Gribskov";41262
"Halsnæs";31395
"Helsingør";62664
"Hillerød";51222
"Hørsholm";25012
"Rudersdal";56556
"Bornholm";39693
"Christiansø";83
"Greve";50289
"Køge";60725
"Lejre";27995
"Roskilde";87588
"Solrød";23234
"Faxe";36606
"Guldborgsund";60872
"Holbæk";71360
"Kalundborg";48564
"Lolland";41475
"Næstved";83095
"Odsherred";33170
"Ringsted";34735
"Slagelse";79139
"Sorø";29860
"Stevns";22856
"Vordingborg";45794
"Assens";41120
"Faaborg-Midtfyn";51746
"Kerteminde";23863
"Langeland";12547
"Middelfart";38862
"Nordfyns";29764
"Nyborg";31974
"Odense";204120
"Svendborg";58513
"Ærø";6033
"Billund";26699
"Esbjerg";115675
"Fanø";3475
"Fredericia";51417
"Haderslev";55829
"Kolding";93073
"Sønderborg";74353
"Tønder";37573
"Varde";50237
"Vejen";42776
"Vejle";115316
"Aabenraa";58914
"Favrskov";48373
"Hedensted";46726
"Horsens";90961
"Norddjurs";37463
"Odder";22783
"Randers";98009
"Samsø";3689
"Silkeborg";93636
"Skanderborg";62286
"Syddjurs";42900
"Aarhus";345635
"Herning";89128
"Holstebro";58543
"Ikast-Brande";41664
"Lemvig";19938
"Ringkøbing-Skjern";56883
"Skive";46151
"Struer";21124
"Viborg";97245
"Brønderslev";36435
"Frederikshavn";59906
"Hjørring";64659
"Jammerbugt";38440
"Læsø";1812
"Mariagerfjord";41951
"Morsø";20366
"Rebild";30073
"Thisted";43553
"Vesthimmerlands";37026
"Aalborg";215510

