"Ejendomssalg efter overdragelsesformer, nøgletal, område,"
"ejendomskategori og tid"

" "," "," "," ","2016K1","2016K2","2016K3","2016K4","2017K1","2017K2","2017K3","2017K4","2018K1","2018K2","2018K3","2018K4","2019K1"
"Almindelig fri handel"
" ","Gennemsnitlig pris pr. ejendom (1000 kr)"
" "," ","Hele landet"
" "," "," ","Enfamiliehuse",2097,2145,2119,2122,2182,2248,2206,2192,2230,2300,2263,2223,2221
" "," "," ","Ejendomme med 2 eller 3 lejligheder",2731,3060,2952,2466,3209,2942,2894,2574,2961,3146,3207,2942,2880
" "," "," ","Ejendomme med 4 lejligheder eller derover",8910,12487,8182,7209,10417,8023,10956,10572,10063,11254,11859,7734,10340
" "," "," ","Blandet beboelse-forretning",3709,6137,4334,4925,4503,5337,5410,5652,4108,5222,9469,4536,3360
" "," "," ","Rene forretningsejendomme",9279,8983,10363,11356,10213,13359,7167,10503,6664,8595,8699,8681,7380
" "," "," ","Fabriks- og lagerejendomme",6207,5799,8533,7074,7462,5198,5516,8597,8338,9328,12313,7522,7429
" "," "," ","Landbrug i alt",4354,4271,3568,3515,3715,3338,3744,3574,4072,3542,3766,3577,4061
" "," "," ","Sommerhuse",1206,1150,1176,1168,1231,1240,1205,1248,1281,1296,1255,1267,1253
" "," "," ","Grunde i alt",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Ejerlejligh. ikke frie. Antal",0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","Ejerlejligheder fri",2144,2203,2115,2161,2341,2357,2381,2403,2484,2496,2454,2442,2431
" "," "," ","Ejerlejligheder, i alt",2144,2203,2115,2161,2341,2357,2381,2403,2484,2496,2454,2442,2431
" "," "," ","Andet bebygget. Antal",0,0,0,0,0,0,0,0,0,0,0,0,0
" "," "," ","Samlet salg",2217,2267,2161,2293,2351,2278,2246,2408,2373,2370,2427,2330,2308
" "," "," ","Ejendomme med 2 lejligheder",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Ejendomme med 3 lejligheder",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Ejendomme med 4-8 lejligheder",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Ejendomme m 9 el. flere lejl.",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug 10-100 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug 2-5 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug 5-10 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug 10-15 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug 15-30 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug 30-60 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug, mere end 60 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug 60-100 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Landbrug, mere end 100 ha",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Grunde under 2000 m2",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," "," ","Grunde 2000 m2 og derover",..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","Region Hovedstaden"
" "," "," ","Enfamiliehuse",3388,3502,3473,3483,3566,3651,3654,3612,3700,3857,3724,3716,3740
" "," "," ","Ejendomme med 2 eller 3 lejligheder",3879,3923,4155,3571,4523,4111,4087,3840,4253,4402,4606,4325,4251
