Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Drab, brand mv.;Nordjylland;Brønderslev;2;0,1;2;100,0%
Drab, brand mv.;Nordjylland;Frederikshavn;4;0,1;10;250,0%
Drab, brand mv.;Nordjylland;Vesthimmerland;3;0,1;4;133,3%
Drab, brand mv.;Nordjylland;Rebild;2;0,1;0;0,0%
Drab, brand mv.;Nordjylland;Mariagerfjord;1;0,0;0;0,0%
Drab, brand mv.;Nordjylland;Jammerbugt;3;0,1;1;33,3%
Drab, brand mv.;Nordjylland;Aalborg;8;0,0;7;87,5%
Drab, brand mv.;Østjylland;Syddjurs;3;0,1;3;100,0%
Drab, brand mv.;Østjylland;Norddjurs;1;0,0;1;100,0%
Drab, brand mv.;Østjylland;Favrskov;2;0,0;2;100,0%
Drab, brand mv.;Østjylland;Odder;1;0,0;3;300,0%
Drab, brand mv.;Østjylland;Randers;6;0,1;3;50,0%
Drab, brand mv.;Østjylland;Aarhus;11;0,0;13;118,2%
Drab, brand mv.;Midt- og Vestjylland;Herning;0;-;3;-
Drab, brand mv.;Midt- og Vestjylland;Holstebro;0;-;1;-
Drab, brand mv.;Midt- og Vestjylland;Struer;2;0,1;4;200,0%
Drab, brand mv.;Midt- og Vestjylland;Silkeborg;2;0,0;6;300,0%
Drab, brand mv.;Midt- og Vestjylland;Ikast-Brande;1;0,0;1;100,0%
Drab, brand mv.;Midt- og Vestjylland;Ringkøbing-Skjern;4;0,1;4;100,0%
Drab, brand mv.;Midt- og Vestjylland;Skive;1;0,0;13;1.300,0%
Drab, brand mv.;Midt- og Vestjylland;Thisted;1;0,0;1;100,0%
Drab, brand mv.;Midt- og Vestjylland;Viborg;2;0,0;3;150,0%
Drab, brand mv.;Sydøstjylland;Billund;2;0,1;0;0,0%
Drab, brand mv.;Sydøstjylland;Fredericia;1;0,0;0;0,0%
Drab, brand mv.;Sydøstjylland;Horsens;13;0,1;6;46,2%
Drab, brand mv.;Sydøstjylland;Kolding;9;0,1;6;66,7%
Drab, brand mv.;Sydøstjylland;Vejle;8;0,1;3;37,5%
Drab, brand mv.;Sydøstjylland;Skanderborg;5;0,1;2;40,0%
Drab, brand mv.;Sydøstjylland;Hedensted;2;0,0;1;50,0%
Drab, brand mv.;Syd- og Sønderjylland;Sønderborg;0;-;4;-
Drab, brand mv.;Syd- og Sønderjylland;Tønder;2;0,1;4;200,0%
Drab, brand mv.;Syd- og Sønderjylland;Esbjerg;4;0,0;2;50,0%
Drab, brand mv.;Syd- og Sønderjylland;Varde;1;0,0;1;100,0%
Drab, brand mv.;Syd- og Sønderjylland;Vejen;0;-;1;-
Drab, brand mv.;Syd- og Sønderjylland;Aabenraa;3;0,1;1;33,3%
Drab, brand mv.;Fyn;Middelfart;0;-;2;-
Drab, brand mv.;Fyn;Assens;1;0,0;6;600,0%
Drab, brand mv.;Fyn;Faaborg-Midtfyn;1;0,0;1;100,0%
Drab, brand mv.;Fyn;Nyborg;2;0,1;2;100,0%
Drab, brand mv.;Fyn;Odense;10;0,0;14;140,0%
Drab, brand mv.;Sydsjælland og Lolland-Falster;Faxe;3;0,1;2;66,7%
Drab, brand mv.;Sydsjælland og Lolland-Falster;Slagelse;13;0,2;2;15,4%
Drab, brand mv.;Sydsjælland og Lolland-Falster;Sorø;3;0,1;4;133,3%
Drab, brand mv.;Sydsjælland og Lolland-Falster;Lolland;8;0,2;5;62,5%
Drab, brand mv.;Sydsjælland og Lolland-Falster;Næstved;9;0,1;6;66,7%
Drab, brand mv.;Sydsjælland og Lolland-Falster;Guldborgsund;11;0,2;12;109,1%
Drab, brand mv.;Sydsjælland og Lolland-Falster;Vordingborg;3;0,1;0;0,0%
Drab, brand mv.;Midt- og Vestsjælland;Greve;2;0,0;1;50,0%
Drab, brand mv.;Midt- og Vestsjælland;Roskilde;1;0,0;0;0,0%
Drab, brand mv.;Midt- og Vestsjælland;Odsherred;5;0,2;4;80,0%
Drab, brand mv.;Midt- og Vestsjælland;Holbæk;3;0,0;2;66,7%
Drab, brand mv.;Midt- og Vestsjælland;Kalundborg;3;0,1;1;33,3%
Drab, brand mv.;Midt- og Vestsjælland;Stevns;0;-;1;-
Drab, brand mv.;Midt- og Vestsjælland;Lejre;1;0,0;1;100,0%
Drab, brand mv.;Nordsjælland;Gentofte;2;0,0;2;100,0%
Drab, brand mv.;Nordsjælland;Lyngby-Taarbæk;1;0,0;0;0,0%
Drab, brand mv.;Nordsjælland;Furesø;0;-;1;-
Drab, brand mv.;Nordsjælland;Fredensborg;4;0,1;1;25,0%
Drab, brand mv.;Nordsjælland;Helsingør;5;0,1;3;60,0%
Drab, brand mv.;Nordsjælland;Hillerød;1;0,0;3;300,0%
Drab, brand mv.;Nordsjælland;Hørsholm;1;0,0;0;0,0%
Drab, brand mv.;Nordsjælland;Rudersdal;2;0,0;2;100,0%
Drab, brand mv.;Nordsjælland;Egedal;1;0,0;1;100,0%
Drab, brand mv.;Nordsjælland;Frederikssund;2;0,0;2;100,0%
Drab, brand mv.;Nordsjælland;Gribskov;3;0,1;2;66,7%
Drab, brand mv.;Københavns Vestegn;Ballerup;1;0,0;0;0,0%
Drab, brand mv.;Københavns Vestegn;Brøndby;16;0,5;11;68,8%
Drab, brand mv.;Københavns Vestegn;Gladsaxe;2;0,0;3;150,0%
Drab, brand mv.;Københavns Vestegn;Glostrup;8;0,4;0;0,0%
Drab, brand mv.;Københavns Vestegn;Herlev;4;0,1;1;25,0%
Drab, brand mv.;Københavns Vestegn;Albertslund;8;0,3;3;37,5%
Drab, brand mv.;Københavns Vestegn;Hvidovre;6;0,1;0;0,0%
Drab, brand mv.;Københavns Vestegn;Høje Taastrup;6;0,1;0;0,0%
Drab, brand mv.;Københavns Vestegn;Rødovre;7;0,2;2;28,6%
Drab, brand mv.;Københavns Vestegn;Ishøj;8;0,3;1;12,5%
Drab, brand mv.;Københavns Vestegn;Vallensbæk;1;0,1;0;0,0%
Drab, brand mv.;København;København;67;0,1;59;88,1%
Drab, brand mv.;København;Frederiksberg;1;0,0;1;100,0%
Drab, brand mv.;København;Dragør;1;0,1;0;0,0%
Drab, brand mv.;København;Tårnby;1;0,0;0;0,0%
Drab, brand mv.;Bornholm;Bornholm;2;0,1;1;50,0%
