Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Indbrud;Nordjylland;Brønderslev;42;1,2;6;14,3%
Indbrud;Nordjylland;Frederikshavn;149;2,5;128;85,9%
Indbrud;Nordjylland;Vesthimmerland;59;1,6;13;22,0%
Indbrud;Nordjylland;Læsø;1;0,6;0;0,0%
Indbrud;Nordjylland;Rebild;27;0,9;4;14,8%
Indbrud;Nordjylland;Mariagerfjord;54;1,3;14;25,9%
Indbrud;Nordjylland;Jammerbugt;156;4,1;174;111,5%
Indbrud;Nordjylland;Aalborg;419;1,9;97;23,2%
Indbrud;Nordjylland;Hjørring;297;4,6;253;85,2%
Indbrud;Østjylland;Syddjurs;124;2,9;9;7,3%
Indbrud;Østjylland;Norddjurs;112;3,0;9;8,0%
Indbrud;Østjylland;Favrskov;77;1,6;18;23,4%
Indbrud;Østjylland;Odder;25;1,1;8;32,0%
Indbrud;Østjylland;Randers;236;2,4;36;15,3%
Indbrud;Østjylland;Aarhus;780;2,3;107;13,7%
Indbrud;Midt- og Vestjylland;Herning;106;1,2;44;41,5%
Indbrud;Midt- og Vestjylland;Holstebro;107;1,8;25;23,4%
Indbrud;Midt- og Vestjylland;Lemvig;16;0,8;0;0,0%
Indbrud;Midt- og Vestjylland;Struer;31;1,5;9;29,0%
Indbrud;Midt- og Vestjylland;Silkeborg;140;1,5;37;26,4%
Indbrud;Midt- og Vestjylland;Ikast-Brande;77;1,9;12;15,6%
Indbrud;Midt- og Vestjylland;Ringkøbing-Skjern;119;2,1;22;18,5%
Indbrud;Midt- og Vestjylland;Morsø;9;0,4;5;55,6%
Indbrud;Midt- og Vestjylland;Skive;44;1,0;11;25,0%
Indbrud;Midt- og Vestjylland;Thisted;79;1,8;42;53,2%
Indbrud;Midt- og Vestjylland;Viborg;130;1,3;29;22,3%
Indbrud;Sydøstjylland;Billund;68;2,6;10;14,7%
Indbrud;Sydøstjylland;Fredericia;174;3,4;10;5,7%
Indbrud;Sydøstjylland;Horsens;167;1,8;23;13,8%
Indbrud;Sydøstjylland;Kolding;324;3,5;18;5,6%
Indbrud;Sydøstjylland;Vejle;306;2,7;43;14,1%
Indbrud;Sydøstjylland;Skanderborg;124;2,0;29;23,4%
Indbrud;Sydøstjylland;Hedensted;95;2,0;26;27,4%
