Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Narkotika og smugling;Nordjylland;Brønderslev;16;0,4;12;75,0%
Narkotika og smugling;Nordjylland;Frederikshavn;83;1,4;68;81,9%
Narkotika og smugling;Nordjylland;Vesthimmerland;13;0,4;7;53,8%
Narkotika og smugling;Nordjylland;Rebild;5;0,2;5;100,0%
Narkotika og smugling;Nordjylland;Mariagerfjord;25;0,6;28;112,0%
Narkotika og smugling;Nordjylland;Jammerbugt;31;0,8;16;51,6%
Narkotika og smugling;Nordjylland;Aalborg;289;1,3;268;92,7%
Narkotika og smugling;Nordjylland;Hjørring;41;0,6;27;65,9%
Narkotika og smugling;Østjylland;Syddjurs;17;0,4;16;94,1%
Narkotika og smugling;Østjylland;Norddjurs;28;0,7;27;96,4%
Narkotika og smugling;Østjylland;Favrskov;12;0,2;11;91,7%
Narkotika og smugling;Østjylland;Odder;9;0,4;10;111,1%
Narkotika og smugling;Østjylland;Randers;200;2,0;207;103,5%
Narkotika og smugling;Østjylland;Aarhus;540;1,6;533;98,7%
Narkotika og smugling;Midt- og Vestjylland;Herning;102;1,1;100;98,0%
Narkotika og smugling;Midt- og Vestjylland;Holstebro;96;1,6;84;87,5%
Narkotika og smugling;Midt- og Vestjylland;Lemvig;20;1,0;19;95,0%
Narkotika og smugling;Midt- og Vestjylland;Struer;22;1,0;20;90,9%
Narkotika og smugling;Midt- og Vestjylland;Silkeborg;126;1,4;121;96,0%
Narkotika og smugling;Midt- og Vestjylland;Ikast-Brande;49;1,2;48;98,0%
Narkotika og smugling;Midt- og Vestjylland;Ringkøbing-Skjern;20;0,4;19;95,0%
Narkotika og smugling;Midt- og Vestjylland;Morsø;5;0,2;4;80,0%
Narkotika og smugling;Midt- og Vestjylland;Skive;38;0,8;39;102,6%
Narkotika og smugling;Midt- og Vestjylland;Thisted;33;0,8;33;100,0%
Narkotika og smugling;Midt- og Vestjylland;Viborg;138;1,4;138;100,0%
Narkotika og smugling;Sydøstjylland;Billund;67;2,5;60;89,6%
Narkotika og smugling;Sydøstjylland;Fredericia;69;1,3;59;85,5%
Narkotika og smugling;Sydøstjylland;Horsens;123;1,4;117;95,1%
Narkotika og smugling;Sydøstjylland;Kolding;146;1,6;136;93,2%
Narkotika og smugling;Sydøstjylland;Vejle;166;1,4;153;92,2%
Narkotika og smugling;Sydøstjylland;Skanderborg;6;0,1;4;66,7%
Narkotika og smugling;Sydøstjylland;Hedensted;12;0,3;22;183,3%
Narkotika og smugling;Syd- og Sønderjylland;Haderslev;71;1,3;48;67,6%
Narkotika og smugling;Syd- og Sønderjylland;Sønderborg;86;1,2;67;77,9%
Narkotika og smugling;Syd- og Sønderjylland;Tønder;74;2,0;60;81,1%
Narkotika og smugling;Syd- og Sønderjylland;Esbjerg;311;2,7;320;102,9%
Narkotika og smugling;Syd- og Sønderjylland;Fanø;2;0,6;0;0,0%
Narkotika og smugling;Syd- og Sønderjylland;Varde;73;1,5;49;67,1%
Narkotika og smugling;Syd- og Sønderjylland;Vejen;32;0,7;31;96,9%
