Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Røveri;Nordjylland;Frederikshavn;1;0,0;0;0,0%
Røveri;Nordjylland;Vesthimmerland;0;-;4;-
Røveri;Nordjylland;Mariagerfjord;1;0,0;0;0,0%
Røveri;Nordjylland;Jammerbugt;2;0,1;1;50,0%
Røveri;Nordjylland;Aalborg;20;0,1;22;110,0%
Røveri;Nordjylland;Hjørring;2;0,0;4;200,0%
Røveri;Østjylland;Syddjurs;0;-;1;-
Røveri;Østjylland;Randers;4;0,0;4;100,0%
Røveri;Østjylland;Aarhus;33;0,1;31;93,9%
Røveri;Midt- og Vestjylland;Herning;3;0,0;1;33,3%
Røveri;Midt- og Vestjylland;Holstebro;5;0,1;2;40,0%
Røveri;Midt- og Vestjylland;Silkeborg;2;0,0;2;100,0%
Røveri;Midt- og Vestjylland;Ikast-Brande;2;0,0;4;200,0%
Røveri;Midt- og Vestjylland;Ringkøbing-Skjern;2;0,0;1;50,0%
Røveri;Midt- og Vestjylland;Skive;1;0,0;1;100,0%
Røveri;Sydøstjylland;Fredericia;1;0,0;2;200,0%
Røveri;Sydøstjylland;Horsens;1;0,0;2;200,0%
Røveri;Sydøstjylland;Kolding;3;0,0;3;100,0%
Røveri;Sydøstjylland;Vejle;7;0,1;8;114,3%
Røveri;Sydøstjylland;Skanderborg;2;0,0;2;100,0%
Røveri;Sydøstjylland;Hedensted;3;0,1;0;0,0%
Røveri;Syd- og Sønderjylland;Sønderborg;3;0,0;7;233,3%
Røveri;Syd- og Sønderjylland;Tønder;2;0,1;5;250,0%
Røveri;Syd- og Sønderjylland;Esbjerg;7;0,1;5;71,4%
Røveri;Syd- og Sønderjylland;Varde;3;0,1;2;66,7%
Røveri;Syd- og Sønderjylland;Vejen;1;0,0;0;0,0%
Røveri;Syd- og Sønderjylland;Aabenraa;2;0,0;2;100,0%
Røveri;Fyn;Middelfart;3;0,1;5;166,7%
Røveri;Fyn;Assens;1;0,0;1;100,0%
Røveri;Fyn;Faaborg-Midtfyn;2;0,0;3;150,0%
Røveri;Fyn;Odense;15;0,1;13;86,7%
Røveri;Fyn;Svendborg;1;0,0;3;300,0%
Røveri;Sydsjælland og Lolland-Falster;Slagelse;2;0,0;10;500,0%
Røveri;Sydsjælland og Lolland-Falster;Lolland;1;0,0;0;0,0%
Røveri;Sydsjælland og Lolland-Falster;Næstved;1;0,0;1;100,0%
Røveri;Sydsjælland og Lolland-Falster;Guldborgsund;9;0,1;6;66,7%
Røveri;Sydsjælland og Lolland-Falster;Vordingborg;0;-;2;-
Røveri;Midt- og Vestsjælland;Greve;3;0,1;2;66,7%
Røveri;Midt- og Vestsjælland;Køge;4;0,1;0;0,0%
Røveri;Midt- og Vestsjælland;Roskilde;5;0,1;1;20,0%
Røveri;Midt- og Vestsjælland;Solrød;1;0,0;1;100,0%
Røveri;Midt- og Vestsjælland;Odsherred;3;0,1;2;66,7%
Røveri;Midt- og Vestsjælland;Holbæk;3;0,0;9;300,0%
Røveri;Midt- og Vestsjælland;Kalundborg;1;0,0;1;100,0%
Røveri;Midt- og Vestsjælland;Ringsted;1;0,0;10;1.000,0%
Røveri;Midt- og Vestsjælland;Lejre;1;0,0;1;100,0%
Røveri;Nordsjælland;Gentofte;5;0,1;12;240,0%
Røveri;Nordsjælland;Lyngby-Taarbæk;2;0,0;2;100,0%
Røveri;Nordsjælland;Furesø;2;0,0;1;50,0%
Røveri;Nordsjælland;Allerød;1;0,0;0;0,0%
Røveri;Nordsjælland;Fredensborg;7;0,2;3;42,9%
Røveri;Nordsjælland;Helsingør;4;0,1;1;25,0%
Røveri;Nordsjælland;Hillerød;3;0,1;6;200,0%
Røveri;Nordsjælland;Hørsholm;2;0,1;2;100,0%
Røveri;Nordsjælland;Rudersdal;2;0,0;0;0,0%
Røveri;Nordsjælland;Frederikssund;4;0,1;0;0,0%
Røveri;Nordsjælland;Halsnæs;0;-;1;-
Røveri;Nordsjælland;Gribskov;1;0,0;3;300,0%
Røveri;Københavns Vestegn;Ballerup;2;0,0;1;50,0%
Røveri;Københavns Vestegn;Brøndby;8;0,2;14;175,0%
Røveri;Københavns Vestegn;Gladsaxe;5;0,1;3;60,0%
Røveri;Københavns Vestegn;Glostrup;4;0,2;0;0,0%
Røveri;Københavns Vestegn;Herlev;2;0,1;2;100,0%
Røveri;Københavns Vestegn;Albertslund;2;0,1;0;0,0%
Røveri;Københavns Vestegn;Hvidovre;5;0,1;4;80,0%
Røveri;Københavns Vestegn;Høje Taastrup;2;0,0;0;0,0%
Røveri;Københavns Vestegn;Rødovre;4;0,1;0;0,0%
Røveri;Københavns Vestegn;Ishøj;5;0,2;1;20,0%
Røveri;Københavns Vestegn;Vallensbæk;2;0,1;0;0,0%
Røveri;København;København;128;0,2;70;54,7%
Røveri;København;Frederiksberg;12;0,1;8;66,7%
Røveri;København;Tårnby;2;0,0;4;200,0%
