Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Sædelighed;Nordjylland;Brønderslev;4;0,1;0;0,0%
Sædelighed;Nordjylland;Frederikshavn;9;0,2;11;122,2%
Sædelighed;Nordjylland;Vesthimmerland;4;0,1;9;225,0%
Sædelighed;Nordjylland;Læsø;1;0,6;0;0,0%
Sædelighed;Nordjylland;Rebild;9;0,3;2;22,2%
Sædelighed;Nordjylland;Mariagerfjord;10;0,2;3;30,0%
Sædelighed;Nordjylland;Jammerbugt;6;0,2;3;50,0%
Sædelighed;Nordjylland;Aalborg;46;0,2;32;69,6%
Sædelighed;Nordjylland;Hjørring;8;0,1;9;112,5%
Sædelighed;Østjylland;Syddjurs;6;0,1;3;50,0%
Sædelighed;Østjylland;Norddjurs;10;0,3;5;50,0%
Sædelighed;Østjylland;Favrskov;27;0,6;23;85,2%
Sædelighed;Østjylland;Odder;6;0,3;6;100,0%
Sædelighed;Østjylland;Randers;10;0,1;10;100,0%
Sædelighed;Østjylland;Aarhus;40;0,1;20;50,0%
Sædelighed;Midt- og Vestjylland;Herning;13;0,1;4;30,8%
Sædelighed;Midt- og Vestjylland;Holstebro;13;0,2;6;46,2%
Sædelighed;Midt- og Vestjylland;Lemvig;1;0,1;3;300,0%
Sædelighed;Midt- og Vestjylland;Struer;13;0,6;9;69,2%
Sædelighed;Midt- og Vestjylland;Silkeborg;19;0,2;18;94,7%
Sædelighed;Midt- og Vestjylland;Ikast-Brande;5;0,1;1;20,0%
Sædelighed;Midt- og Vestjylland;Ringkøbing-Skjern;5;0,1;3;60,0%
Sædelighed;Midt- og Vestjylland;Morsø;0;-;1;-
Sædelighed;Midt- og Vestjylland;Skive;15;0,3;10;66,7%
Sædelighed;Midt- og Vestjylland;Thisted;6;0,1;6;100,0%
Sædelighed;Midt- og Vestjylland;Viborg;12;0,1;11;91,7%
Sædelighed;Sydøstjylland;Billund;4;0,2;5;125,0%
Sædelighed;Sydøstjylland;Fredericia;12;0,2;10;83,3%
Sædelighed;Sydøstjylland;Horsens;29;0,3;20;69,0%
Sædelighed;Sydøstjylland;Kolding;23;0,2;19;82,6%
Sædelighed;Sydøstjylland;Vejle;25;0,2;17;68,0%
Sædelighed;Sydøstjylland;Skanderborg;12;0,2;5;41,7%
Sædelighed;Sydøstjylland;Hedensted;1;0,0;2;200,0%
Sædelighed;Syd- og Sønderjylland;Haderslev;10;0,2;7;70,0%
Sædelighed;Syd- og Sønderjylland;Sønderborg;19;0,3;10;52,6%
Sædelighed;Syd- og Sønderjylland;Tønder;5;0,1;0;0,0%
Sædelighed;Syd- og Sønderjylland;Esbjerg;33;0,3;182;551,5%
Sædelighed;Syd- og Sønderjylland;Fanø;0;-;1;-
Sædelighed;Syd- og Sønderjylland;Varde;8;0,2;0;0,0%
Sædelighed;Syd- og Sønderjylland;Vejen;15;0,3;10;66,7%
Sædelighed;Syd- og Sønderjylland;Aabenraa;14;0,2;7;50,0%
Sædelighed;Fyn;Middelfart;5;0,1;4;80,0%
Sædelighed;Fyn;Assens;6;0,1;8;133,3%
Sædelighed;Fyn;Faaborg-Midtfyn;20;0,4;16;80,0%
Sædelighed;Fyn;Kerteminde;3;0,1;2;66,7%
Sædelighed;Fyn;Nyborg;10;0,3;6;60,0%
Sædelighed;Fyn;Odense;47;0,2;35;74,5%
Sædelighed;Fyn;Svendborg;6;0,1;5;83,3%
Sædelighed;Fyn;Nordfyns;1;0,0;3;300,0%
Sædelighed;Fyn;Langeland;2;0,2;1;50,0%
Sædelighed;Sydsjælland og Lolland-Falster;Faxe;6;0,2;4;66,7%
Sædelighed;Sydsjælland og Lolland-Falster;Slagelse;14;0,2;6;42,9%
Sædelighed;Sydsjælland og Lolland-Falster;Sorø;6;0,2;4;66,7%
Sædelighed;Sydsjælland og Lolland-Falster;Lolland;11;0,3;4;36,4%
Sædelighed;Sydsjælland og Lolland-Falster;Næstved;23;0,3;14;60,9%
Sædelighed;Sydsjælland og Lolland-Falster;Guldborgsund;12;0,2;4;33,3%
Sædelighed;Sydsjælland og Lolland-Falster;Vordingborg;4;0,1;3;75,0%
Sædelighed;Midt- og Vestsjælland;Greve;1;0,0;0;0,0%
Sædelighed;Midt- og Vestsjælland;Køge;10;0,2;7;70,0%
Sædelighed;Midt- og Vestsjælland;Roskilde;16;0,2;8;50,0%
Sædelighed;Midt- og Vestsjælland;Odsherred;4;0,1;4;100,0%
Sædelighed;Midt- og Vestsjælland;Holbæk;65;0,9;8;12,3%
Sædelighed;Midt- og Vestsjælland;Kalundborg;18;0,4;9;50,0%
Sædelighed;Midt- og Vestsjælland;Ringsted;5;0,1;9;180,0%
Sædelighed;Midt- og Vestsjælland;Stevns;1;0,0;1;100,0%
Sædelighed;Midt- og Vestsjælland;Lejre;3;0,1;2;66,7%
Sædelighed;Nordsjælland;Gentofte;7;0,1;2;28,6%
Sædelighed;Nordsjælland;Lyngby-Taarbæk;11;0,2;8;72,7%
Sædelighed;Nordsjælland;Furesø;3;0,1;2;66,7%
Sædelighed;Nordsjælland;Allerød;1;0,0;2;200,0%
Sædelighed;Nordsjælland;Fredensborg;3;0,1;7;233,3%
Sædelighed;Nordsjælland;Helsingør;12;0,2;8;66,7%
Sædelighed;Nordsjælland;Hillerød;6;0,1;7;116,7%
Sædelighed;Nordsjælland;Hørsholm;2;0,1;3;150,0%
Sædelighed;Nordsjælland;Rudersdal;4;0,1;2;50,0%
Sædelighed;Nordsjælland;Egedal;5;0,1;9;180,0%
Sædelighed;Nordsjælland;Frederikssund;11;0,2;3;27,3%
Sædelighed;Nordsjælland;Halsnæs;6;0,2;1;16,7%
