Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Tyveri;Nordjylland;Brønderslev;77;2,1;27;35,1%
Tyveri;Nordjylland;Frederikshavn;172;2,9;89;51,7%
Tyveri;Nordjylland;Vesthimmerland;65;1,8;18;27,7%
Tyveri;Nordjylland;Rebild;41;1,4;9;22,0%
Tyveri;Nordjylland;Mariagerfjord;108;2,6;33;30,6%
Tyveri;Nordjylland;Jammerbugt;72;1,9;8;11,1%
Tyveri;Nordjylland;Aalborg;766;3,6;299;39,0%
Tyveri;Nordjylland;Hjørring;142;2,2;39;27,5%
Tyveri;Østjylland;Syddjurs;70;1,6;18;25,7%
Tyveri;Østjylland;Norddjurs;76;2,0;23;30,3%
Tyveri;Østjylland;Favrskov;78;1,6;13;16,7%
Tyveri;Østjylland;Odder;50;2,2;11;22,0%
Tyveri;Østjylland;Randers;333;3,4;144;43,2%
Tyveri;Østjylland;Samsø;1;0,3;0;0,0%
Tyveri;Østjylland;Aarhus;2.051;5,9;449;21,9%
Tyveri;Midt- og Vestjylland;Herning;226;2,5;132;58,4%
Tyveri;Midt- og Vestjylland;Holstebro;118;2,0;51;43,2%
Tyveri;Midt- og Vestjylland;Lemvig;12;0,6;4;33,3%
Tyveri;Midt- og Vestjylland;Struer;27;1,3;6;22,2%
Tyveri;Midt- og Vestjylland;Silkeborg;187;2,0;69;36,9%
Tyveri;Midt- og Vestjylland;Ikast-Brande;72;1,7;14;19,4%
Tyveri;Midt- og Vestjylland;Ringkøbing-Skjern;81;1,4;38;46,9%
Tyveri;Midt- og Vestjylland;Morsø;32;1,6;11;34,4%
Tyveri;Midt- og Vestjylland;Skive;62;1,3;29;46,8%
Tyveri;Midt- og Vestjylland;Thisted;77;1,8;44;57,1%
Tyveri;Midt- og Vestjylland;Viborg;193;2,0;94;48,7%
Tyveri;Sydøstjylland;Billund;80;3,0;22;27,5%
Tyveri;Sydøstjylland;Fredericia;170;3,3;52;30,6%
Tyveri;Sydøstjylland;Horsens;308;3,4;165;53,6%
Tyveri;Sydøstjylland;Kolding;327;3,5;127;38,8%
Tyveri;Sydøstjylland;Vejle;321;2,8;118;36,8%
Tyveri;Sydøstjylland;Skanderborg;124;2,0;38;30,6%
Tyveri;Sydøstjylland;Hedensted;68;1,5;17;25,0%
Tyveri;Syd- og Sønderjylland;Haderslev;136;2,4;51;37,5%
Tyveri;Syd- og Sønderjylland;Sønderborg;174;2,3;63;36,2%
Tyveri;Syd- og Sønderjylland;Tønder;94;2,5;45;47,9%
Tyveri;Syd- og Sønderjylland;Esbjerg;415;3,6;218;52,5%
Tyveri;Syd- og Sønderjylland;Fanø;8;2,4;0;0,0%
Tyveri;Syd- og Sønderjylland;Varde;98;2,0;32;32,7%
Tyveri;Syd- og Sønderjylland;Vejen;83;1,9;32;38,6%
Tyveri;Syd- og Sønderjylland;Aabenraa;198;3,4;104;52,5%
Tyveri;Fyn;Middelfart;79;2,0;29;36,7%
Tyveri;Fyn;Assens;84;2,0;23;27,4%
Tyveri;Fyn;Faaborg-Midtfyn;87;1,7;26;29,9%
Tyveri;Fyn;Kerteminde;46;1,9;8;17,4%
Tyveri;Fyn;Nyborg;89;2,8;25;28,1%
Tyveri;Fyn;Odense;917;4,5;314;34,2%
Tyveri;Fyn;Svendborg;144;2,5;47;32,6%
Tyveri;Fyn;Nordfyns;51;1,7;21;41,2%
Tyveri;Fyn;Langeland;19;1,5;8;42,1%
Tyveri;Fyn;Ærø;4;0,7;0;0,0%
Tyveri;Sydsjælland og Lolland-Falster;Faxe;84;2,3;17;20,2%
Tyveri;Sydsjælland og Lolland-Falster;Slagelse;311;3,9;123;39,5%
Tyveri;Sydsjælland og Lolland-Falster;Sorø;66;2,2;24;36,4%
Tyveri;Sydsjælland og Lolland-Falster;Lolland;157;3,8;58;36,9%
Tyveri;Sydsjælland og Lolland-Falster;Næstved;265;3,2;75;28,3%
Tyveri;Sydsjælland og Lolland-Falster;Guldborgsund;203;3,3;67;33,0%
Tyveri;Sydsjælland og Lolland-Falster;Vordingborg;90;2,0;10;11,1%
Tyveri;Midt- og Vestsjælland;Greve;194;3,9;42;21,6%
Tyveri;Midt- og Vestsjælland;Køge;251;4,1;45;17,9%
Tyveri;Midt- og Vestsjælland;Roskilde;352;4,0;104;29,5%
Tyveri;Midt- og Vestsjælland;Solrød;75;3,3;8;10,7%
Tyveri;Midt- og Vestsjælland;Odsherred;90;2,7;32;35,6%
Tyveri;Midt- og Vestsjælland;Holbæk;255;3,6;78;30,6%
Tyveri;Midt- og Vestsjælland;Kalundborg;88;1,8;14;15,9%
Tyveri;Midt- og Vestsjælland;Ringsted;96;2,8;38;39,6%
Tyveri;Midt- og Vestsjælland;Stevns;23;1,0;1;4,3%
Tyveri;Midt- og Vestsjælland;Lejre;36;1,3;8;22,2%
Tyveri;Nordsjælland;Gentofte;363;4,8;61;16,8%
Tyveri;Nordsjælland;Lyngby-Taarbæk;392;7,0;149;38,0%
Tyveri;Nordsjælland;Furesø;111;2,7;22;19,8%
Tyveri;Nordsjælland;Allerød;63;2,5;5;7,9%
Tyveri;Nordsjælland;Fredensborg;85;2,1;25;29,4%
Tyveri;Nordsjælland;Helsingør;212;3,4;62;29,2%
Tyveri;Nordsjælland;Hillerød;273;5,4;138;50,5%
Tyveri;Nordsjælland;Hørsholm;123;4,9;37;30,1%
Tyveri;Nordsjælland;Rudersdal;235;4,2;42;17,9%
Tyveri;Nordsjælland;Egedal;99;2,3;12;12,1%
Tyveri;Nordsjælland;Frederikssund;138;3,0;26;18,8%
Tyveri;Nordsjælland;Halsnæs;111;3,5;10;9,0%
Tyveri;Nordsjælland;Gribskov;107;2,6;23;21,5%
Tyveri;Københavns Vestegn;Ballerup;237;4,9;56;23,6%
Tyveri;Københavns Vestegn;Brøndby;159;4,5;33;20,8%
Tyveri;Københavns Vestegn;Gladsaxe;243;3,5;35;14,4%
Tyveri;Københavns Vestegn;Glostrup;179;7,9;46;25,7%
Tyveri;Københavns Vestegn;Herlev;161;5,6;68;42,2%
Tyveri;Københavns Vestegn;Albertslund;152;5,5;39;25,7%
Tyveri;Københavns Vestegn;Hvidovre;273;5,1;58;21,2%
Tyveri;Københavns Vestegn;Høje Taastrup;253;5,0;78;30,8%
Tyveri;Københavns Vestegn;Rødovre;207;5,2;88;42,5%
Tyveri;Københavns Vestegn;Ishøj;136;5,9;64;47,1%
Tyveri;Københavns Vestegn;Vallensbæk;47;2,8;11;23,4%
Tyveri;København;København;6.318;10,1;1.158;18,3%
Tyveri;København;Frederiksberg;473;4,5;109;23,0%
Tyveri;København;Dragør;51;3,6;7;13,7%
Tyveri;København;Tårnby;423;9,8;199;47,0%
Tyveri;Bornholm;Bornholm;43;1,1;34;79,1%
