Aktivitet;Politikreds;Kommune;Antal anmeldelser;Antal anmeldelser pr 1.000 indbyggere;Antal sigtelser;Sigtelsesprocent
Vold;Nordjylland;Brønderslev;18;0,5;15;83,3%
Vold;Nordjylland;Frederikshavn;26;0,4;21;80,8%
Vold;Nordjylland;Vesthimmerland;19;0,5;20;105,3%
Vold;Nordjylland;Læsø;1;0,6;3;300,0%
Vold;Nordjylland;Rebild;6;0,2;3;50,0%
Vold;Nordjylland;Mariagerfjord;27;0,6;20;74,1%
Vold;Nordjylland;Jammerbugt;28;0,7;21;75,0%
Vold;Nordjylland;Aalborg;157;0,7;139;88,5%
Vold;Nordjylland;Hjørring;19;0,3;19;100,0%
Vold;Østjylland;Syddjurs;12;0,3;6;50,0%
Vold;Østjylland;Norddjurs;38;1,0;57;150,0%
Vold;Østjylland;Favrskov;35;0,7;40;114,3%
Vold;Østjylland;Odder;13;0,6;15;115,4%
Vold;Østjylland;Randers;93;0,9;111;119,4%
Vold;Østjylland;Samsø;1;0,3;1;100,0%
Vold;Østjylland;Aarhus;328;0,9;281;85,7%
Vold;Midt- og Vestjylland;Herning;86;1,0;67;77,9%
Vold;Midt- og Vestjylland;Holstebro;44;0,8;32;72,7%
Vold;Midt- og Vestjylland;Lemvig;9;0,5;7;77,8%
Vold;Midt- og Vestjylland;Struer;15;0,7;14;93,3%
Vold;Midt- og Vestjylland;Silkeborg;65;0,7;61;93,8%
Vold;Midt- og Vestjylland;Ikast-Brande;39;0,9;31;79,5%
Vold;Midt- og Vestjylland;Ringkøbing-Skjern;22;0,4;29;131,8%
Vold;Midt- og Vestjylland;Morsø;13;0,6;12;92,3%
Vold;Midt- og Vestjylland;Skive;43;0,9;39;90,7%
Vold;Midt- og Vestjylland;Thisted;22;0,5;25;113,6%
Vold;Midt- og Vestjylland;Viborg;56;0,6;69;123,2%
Vold;Sydøstjylland;Billund;13;0,5;11;84,6%
Vold;Sydøstjylland;Fredericia;45;0,9;47;104,4%
Vold;Sydøstjylland;Horsens;98;1,1;99;101,0%
Vold;Sydøstjylland;Kolding;82;0,9;76;92,7%
Vold;Sydøstjylland;Vejle;100;0,9;90;90,0%
Vold;Sydøstjylland;Skanderborg;27;0,4;27;100,0%
Vold;Sydøstjylland;Hedensted;26;0,6;21;80,8%
Vold;Syd- og Sønderjylland;Haderslev;47;0,8;43;91,5%
Vold;Syd- og Sønderjylland;Sønderborg;51;0,7;52;102,0%
Vold;Syd- og Sønderjylland;Tønder;28;0,7;32;114,3%
Vold;Syd- og Sønderjylland;Esbjerg;115;1,0;94;81,7%
Vold;Syd- og Sønderjylland;Fanø;3;0,9;0;0,0%
Vold;Syd- og Sønderjylland;Varde;42;0,8;48;114,3%
Vold;Syd- og Sønderjylland;Vejen;32;0,7;21;65,6%
Vold;Syd- og Sønderjylland;Aabenraa;65;1,1;57;87,7%
Vold;Fyn;Middelfart;23;0,6;15;65,2%
Vold;Fyn;Assens;23;0,6;25;108,7%
Vold;Fyn;Faaborg-Midtfyn;37;0,7;53;143,2%
Vold;Fyn;Kerteminde;8;0,3;6;75,0%
Vold;Fyn;Nyborg;49;1,5;32;65,3%
Vold;Fyn;Odense;224;1,1;179;79,9%
Vold;Fyn;Svendborg;54;0,9;62;114,8%
Vold;Fyn;Nordfyns;40;1,3;32;80,0%
Vold;Fyn;Langeland;11;0,9;12;109,1%
Vold;Fyn;Ærø;4;0,7;2;50,0%
Vold;Sydsjælland og Lolland-Falster;Faxe;11;0,3;17;154,5%
Vold;Sydsjælland og Lolland-Falster;Slagelse;126;1,6;107;84,9%
Vold;Sydsjælland og Lolland-Falster;Sorø;11;0,4;15;136,4%
Vold;Sydsjælland og Lolland-Falster;Lolland;70;1,7;54;77,1%
Vold;Sydsjælland og Lolland-Falster;Næstved;79;1,0;66;83,5%
Vold;Sydsjælland og Lolland-Falster;Guldborgsund;97;1,6;112;115,5%
Vold;Sydsjælland og Lolland-Falster;Vordingborg;46;1,0;46;100,0%
Vold;Midt- og Vestsjælland;Greve;23;0,5;20;87,0%
Vold;Midt- og Vestsjælland;Køge;35;0,6;26;74,3%
Vold;Midt- og Vestsjælland;Roskilde;60;0,7;34;56,7%
Vold;Midt- og Vestsjælland;Solrød;7;0,3;7;100,0%
Vold;Midt- og Vestsjælland;Odsherred;21;0,6;15;71,4%
Vold;Midt- og Vestsjælland;Holbæk;51;0,7;35;68,6%
Vold;Midt- og Vestsjælland;Kalundborg;31;0,6;35;112,9%
Vold;Midt- og Vestsjælland;Ringsted;25;0,7;21;84,0%
Vold;Midt- og Vestsjælland;Stevns;10;0,4;6;60,0%
Vold;Midt- og Vestsjælland;Lejre;11;0,4;14;127,3%
Vold;Nordsjælland;Gentofte;18;0,2;19;105,6%
Vold;Nordsjælland;Lyngby-Taarbæk;19;0,3;18;94,7%
Vold;Nordsjælland;Furesø;16;0,4;9;56,3%
Vold;Nordsjælland;Allerød;20;0,8;10;50,0%
Vold;Nordsjælland;Fredensborg;25;0,6;13;52,0%
Vold;Nordsjælland;Helsingør;74;1,2;49;66,2%
Vold;Nordsjælland;Hillerød;54;1,1;37;68,5%
Vold;Nordsjælland;Hørsholm;15;0,6;7;46,7%
Vold;Nordsjælland;Rudersdal;34;0,6;43;126,5%
Vold;Nordsjælland;Egedal;16;0,4;18;112,5%
