,Gade,Kommune,Postnr
0,Abel Cathrines Gade,København,1654
1,Bygården,København,2700
2,Aberdeengade,København,2150
3,Dompapvej,København,2300
4,Abildgaardsgade,København,2100
5,Skovharevej,København,2300
6,Svalehalevej,København,
7,Abildhøj,København,2700
8,Abildvang,København,2700
9,Abrikosvej,København,2400
10,Absalonsgade,København,1658
11,Adelgade,København,1304
12,Admiralgade,København,1066
13,Adriansvej,København,2300
14,Agerbo,København,2300
15,Agerhønestien,København,2770
16,Agerlandsvej,København,2300
17,Aggersborggade,København,2100
18,Aggersvoldvej,København,2700
19,Aggervej,København,2720
20,Agnes Henningsens Vej,København,2200
21,Agnetevej,København,2300
22,Ahlefeldtsgade,København,1359
23,Ahlmannsgade,København,2200
24,Ahornsgade,København,2200
25,Ahrenkildes Allé,København,2300
26,Aksel Larsens Plads,København,2200
27,Aksel Sandemoses Plads,København,2500
28,Albaniensgade,København,2300
29,Albert Schweitzers Vej,København,2450
30,Albert Lutulis Vej,København,
31,Aldersrogade,København,2100
32,Alfred Nobels Bro,København,
33,Alléen,København,2200
34,Allersgade,København,2200
35,Alexandriagade,København,2150
36,Alliancevej,København,2450
37,Alperosevej,København,2300
38,Alsgade,København,1764
39,Alstedvej,København,2700
40,Alva Myrdals Plads,København,
41,Amager Boulevard,København,2300
42,Amagerbrogade,København,2300
43,Amagerbro Torv,København,2300
44,Amagerfælledvej,København,2300
45,Amagergade,København,1423
46,Amagermotorvejen,København,
47,Amager Strandvej,København,2300
48,Amager Strand Promenaden,København,2300
49,Amager Strand Stien,København,
50,Amagertorv,København,1160
51,Amaliegade,København,1256
52,Amalienborg Slotsplads,København,1257
53,Amalie Skrams Allé,København,2500
54,Amerikakaj,København,
55,Amerika Plads,København,2100
56,Amerikavej,København,1756
57,Amsterdamvej,København,2300
58,H.C. Andersens Boulevard,København,1553
59,Anders Henriksens Gade,København,2300
60,Andestien,København,
61,Andreas Bjørns Gade,København,1428
62,Andrei Sakharovs Vej,København,2450
63,Angelgade,København,1765
64,Anker Heegaards Gade,København,1572
65,Anker Jørgensens Plads,København,2450
66,Annebergvej,København,2700
67,Annekegade,København,2100
68,Annexstræde,København,2500
69,Ansgars Allé,København,2500
70,Antoinettevej,København,2500
71,Antonigade,København,1106
72,Apollovej,København,2720
73,Applebys Plads,København,1411
74,Arabiensvej,København,2300
75,Arendalsgade,København,2100
