Municipality,Population_density(pop/km2),Population_in_urban_development,Socioeconomic_index,expenditure_per_capita,Service_expenses_per_capita,church_tax,land_tax(‰),land_value_per_capita,taxable_income_per_capita,expenses_development,expenses_transport&infrastructure,expenses_public_school_per_capita,expenses_daycare_per_capita,long_term_debt_per_capita,liquid_assets_per_capita,expenses_daycare_per_0-13yo(brutto),expenses_daycare_per_0-13yo(netto),monthly_price_daycare(3-5yo),education_expenses(6-16yo),expenses_per_school_student,number_of_public_schools,number_of_ordinary_classes,average_class_size,library_expenses_per_capita,expenses_sport_and_other_cultural_activities,expenses_elder(+67yo),sickness_benefits_per_17-64yo,expenses_for_assistance(17-64yo),expenses_for_reschooling(17-64yo)
København,7190,100.0,1.08,58777,41385,0.8,34.0,190274,195564,1518,417,6276,7197,2310,15618,66494,49568,1700,66679,69710,60.0,1708,22.8,346,1062,64106,1465,4147,1493
Frederiksberg,11949,100.0,0.8,55438,38962,0.5,24.75,177386,247425,907,891,6252,6429,14626,8477,63321,44514,1652,64146,60521,10.0,312,23.0,525,1093,49324,1276,2191,1941
Ballerup ,1429,99.5,1.27,67572,54317,0.72,28.89,275576,213604,1255,1483,10866,7065,12561,8956,59912,43505,1712,81103,78685,5.0,221,22.4,692,1061,48987,2553,3622,2448
Brøndby,1686,99.8,1.66,76049,54526,0.8,20.5,219766,181406,937,1385,10453,6658,9620,13872,55800,40645,1771,82036,92083,4.0,150,21.1,435,1660,60906,2010,6606,4624
Dragør,780,97.4,0.6,55676,45733,0.6,24.47,386567,269753,823,1763,8907,7146,17197,11856,55606,40547,1521,60141,52568,3.0,82,23.6,719,1041,40989,2003,1573,406
Gentofte,2937,100.0,0.63,56120,45053,0.39,16.0,486452,377409,1166,1428,8847,5600,21452,4785,51079,32744,1689,58904,56721,12.0,323,23.4,653,1919,52854,1322,1746,1099
Gladsaxe,2798,100.0,1.06,63603,48128,0.72,23.0,266912,217291,950,1316,9819,7118,20288,14358,57088,41137,2042,71758,82679,11.0,290,23.2,678,1674,56323,1477,3136,1355
Glostrup,1700,99.9,1.21,66368,50041,0.8,25.0,253976,208791,3188,2199,8826,6897,9154,5970,58241,43486,1470,72725,73961,1.0,94,21.7,525,1832,48840,1879,3877,1832
Herlev,2379,99.9,1.24,67596,50218,0.75,24.3,236380,201715,1741,1617,9413,6762,9439,1886,55362,38646,1813,74488,65551,4.0,128,21.6,644,1725,44433,1833,3854,657
Albertslund ,1191,99.6,1.54,71434,57473,0.8,33.94,207627,178701,1967,1805,12048,7245,25457,1971,58677,43230,1952,87933,81397,5.0,128,23.5,823,1876,45504,2305,4991,1983
Hvidovre ,2333,100.0,1.14,64948,50425,0.72,29.7,228790,195633,1545,1848,10205,7363,8147,5464,60366,42392,1894,76004,76466,9.0,250,22.7,620,1319,55629,1934,3795,1431
Høje-Taastrup ,648,96.8,1.23,66112,51078,0.85,24.4,215314,187066,1124,1522,10557,7080,12629,5111,56152,42134,1813,77114,87700,10.0,206,22.0,501,1314,40678,1795,5119,1967
Lyngby-Taarbæk ,1438,99.7,0.73,57454,47861,0.58,21.485,413153,291884,2616,1736,8998,5589,6874,5454,52671,33952,1783,64546,63665,9.0,267,22.7,664,1268,56551,1440,1846,949
Rødovre ,3283,100.0,1.19,65629,51082,0.72,30.8,221937,195374,1606,1788,10160,7265,14125,1019,58940,42487,1761,78759,77115,7.0,169,23.1,535,1665,60111,1770,3844,1991
Ishøj ,866,97.6,1.56,72960,54220,0.9,25.0,169065,164882,1989,1977,11677,7306,26965,3546,57919,41466,2169,85951,94272,5.0,98,21.3,561,2428,38963,2007,5026,2487
Tårnby ,650,99.3,1.04,63538,45491,0.61,24.0,256889,206237,1599,1235,9531,7034,1,17173,54137,40151,1663,68575,65081,8.0,217,22.2,757,1881,48038,2457,2513,1519
Vallensbæk ,1753,99.6,0.74,55863,44912,0.68,24.38,239744,205151,771,2158,10256,6183,24346,6190,48997,31907,1626,68371,66514,3.0,90,23.2,346,1560,34989,1503,1962,1159
Furesø ,723,97.8,0.78,59561,47587,0.65,21.5,337539,268475,1798,1652,10741,6590,62120,1763,52842,36382,1764,70613,71076,8.0,219,22.4,428,1530,38103,1781,1734,1681
Allerød,381,94.3,0.53,53423,44062,0.58,22.8,340436,260985,567,2035,11400,6462,10352,616,51539,35572,1670,70915,81243,4.0,138,22.3,585,1016,37427,1770,793,1237
Fredensborg,364,92.2,0.91,60697,47080,0.6,24.65,299080,242881,1369,1593,10030,5714,11379,1494,46670,35410,1537,70766,83534,6.0,163,22.8,538,1380,37421,1653,3159,536
Helsingør,526,96.3,1.04,63437,47093,0.63,28.5,318543,223046,1630,1824,9781,5250,9495,529,48165,36618,1650,74926,75105,7.0,262,22.4,765,1204,39532,1649,4161,1520
Hillerød,239,90.9,0.78,57877,44928,0.69,20.65,285376,226648,1220,1633,10781,5425,12141,27,47271,32982,1675,74812,70113,8.0,226,22.4,469,987,42929,1755,2485,946
Hørsholm,799,98.1,0.66,57504,44198,0.62,22.1,502407,351783,2099,1758,8617,4367,9437,-5099,42532,28499,1580,61708,56087,4.0,106,23.3,507,1164,41777,1399,1253,1937
Rudersdal,771,98.7,0.63,56501,45198,0.56,22.93,526339,356835,962,1932,9194,4827,16265,-3371,45626,28348,1678,61088,63340,12.0,281,23.0,581,1563,50472,1292,1622,949
Egedal,344,92.3,0.58,53653,43252,0.75,23.98,258406,229505,1166,1261,10894,5630,23632,5126,48100,31466,1701,68453,69269,5.0,232,23.3,410,1248,35129,1648,1213,1001
Frederikssund,182,88.2,0.85,59341,45363,0.96,32.5,235395,203933,651,1478,9477,4870,18639,-1461,47550,32898,1789,69504,65702,6.0,184,21.8,459,777,40139,2413,2807,1188
Halsnæs,257,91.4,1.03,62211,49575,0.85,34.0,219296,190810,454,919,9489,4550,23962,-349,45105,33697,1720,85919,81831,5.5,115,21.5,419,926,39328,2324,3133,1629
Gribskov,147,85.0,0.84,59017,45174,0.85,29.34,412404,225692,1198,1487,8981,3935,18264,-1318,39223,29016,1753,69263,92389,7.0,124,24.6,514,1345,36520,2128,2503,836
Bornholm,67,76.4,1.24,67659,48503,0.93,34.0,132001,167399,599,2271,7323,3529,15170,1813,36123,28471,1661,66327,74429,7.0,112,21.9,433,1109,46746,1987,2948,2558
Greve,832,98.5,0.85,58725,41191,0.73,16.944,272602,220194,1109,996,9335,5354,15636,2653,46291,32122,1623,66126,65172,9.0,234,22.3,437,1880,37601,2344,1747,1760
Køge,236,89.9,1.02,62052,45237,0.87,21.038,208789,194458,1512,1809,9906,5304,17612,961,48612,33591,1806,72296,70565,14.0,284,21.8,488,1243,43771,2494,3276,1404
Roskilde,413,94.3,0.8,57906,44792,0.84,24.31,248957,223327,1725,2144,10065,5876,14088,-1981,54731,37197,1694,73651,67009,19.0,434,21.1,638,1321,38221,1726,2566,1620
Solrød,575,95.9,0.64,54099,42358,0.82,20.95,312767,236414,908,1315,9420,5880,11561,7487,47814,32578,1587,62455,61491,4.0,117,23.4,475,1241,37986,2233,1544,2117
Odsherred,94,69.3,1.15,65325,47139,0.98,34.0,316180,189659,923,1356,8667,3836,16121,-3964,44706,32305,1876,78705,77643,4.0,121,18.0,535,1022,40067,2062,3988,2546
Holbæk,124,81.1,1.04,63105,40697,0.96,25.092,163147,182304,755,1358,6830,4608,17202,-1027,42748,29967,1851,59793,67803,5.0,274,20.9,391,1096,35750,1955,3363,1259
Faxe,90,76.7,0.98,61076,42016,1.08,25.0,162308,172370,1130,1537,8183,4160,11221,-307,40407,28697,1777,63146,62833,4.0,156,21.4,442,1092,36222,2547,3692,2164
Kalundborg,85,72.1,1.16,66269,43465,1.01,34.0,178375,181982,410,1754,9123,4458,9440,5408,43232,31067,1855,73322,66806,15.0,200,20.1,394,1178,36748,2234,4345,1910
Ringsted,118,81.6,1.03,62222,45719,0.93,24.74,165738,178720,1353,1880,8702,5000,12142,5657,43635,31395,1700,65449,79415,8.0,132,20.4,457,1052,38531,2188,3295,1518
Slagelse,139,84.3,1.23,66560,43974,0.96,25.3,156717,170785,1644,1669,8425,4764,16090,809,45391,33184,1371,69590,67182,19.0,306,21.3,370,1186,43500,1854,5190,2483
Stevns,91,71.5,0.87,60044,40480,1.1,21.52,223961,186471,1386,1527,7135,4246,13855,3730,41432,29964,1776,57326,71929,3.0,74,22.2,377,1488,32153,1947,3945,2561
Sorø,97,75.2,0.98,62086,42998,0.95,25.74,153860,180437,236,1400,9384,4157,21616,-528,37488,26534,1576,66476,68386,6.0,130,21.5,346,711,39642,2270,2742,1747
Lejre,116,76.9,0.67,55646,43169,1.05,28.23,217889,215224,587,1793,9769,5005,17806,931,44640,30440,1667,66926,63154,7.0,140,20.3,366,862,36454,1723,1034,1002
Lolland,47,71.1,1.86,80637,55559,1.23,33.09,173636,163175,1420,3193,8013,3539,26307,-4226,39912,29486,1839,75285,85844,2.0,134,18.8,415,1408,42725,2962,8056,3198
Næstved,123,81.7,1.04,62755,40308,0.98,25.0,166837,178506,372,1556,8160,4428,19583,2733,42907,29903,1776,63503,73201,6.0,348,22.0,381,786,41742,2210,3828,1752
Guldborgsund,68,71.8,1.3,69073,44959,1.16,32.34,171332,167174,680,2405,7726,4219,27154,2613,46444,32563,1634,67266,75482,14.0,236,21.1,554,1186,40067,2526,5723,2452
Vordingborg,74,72.6,1.15,66194,43854,1.02,32.32,177006,171869,583,2288,8107,3608,20837,649,36130,28026,1528,67347,65213,6.0,172,20.6,428,820,39193,2037,4617,2818
Middelfart,129,81.2,0.84,59031,40128,0.9,21.29,156905,186707,253,1796,8601,3827,11220,1330,36475,25211,1731,64849,67360,12.0,174,20.6,467,854,36382,2169,2015,1250
Assens,81,71.3,0.94,62022,42621,0.95,22.12,146058,166397,597,1744,8777,3900,21935,7228,35216,25938,1697,65062,62486,12.0,190,20.7,393,1207,37887,2228,3450,1302
Faaborg-Midtfyn,82,72.7,0.92,61793,43784,1.05,22.85,156723,166095,1068,1768,8604,3953,9717,6406,34578,26247,1742,65106,70784,10.0,194,20.8,375,1125,38062,2133,3106,1770
