,Kommune,Postnr
0,København,1050
1,København,1051
2,København,1052
3,København,1053
4,København,1054
5,København,1055
6,København,1056
7,København,1057
8,København,1058
9,København,1059
10,København,1060
11,København,1061
12,København,1062
13,København,1063
14,København,1064
15,København,1065
16,København,1066
17,København,1067
18,København,1068
19,København,1069
20,København,1070
21,København,1071
22,København,1072
23,København,1073
24,København,1074
25,København,1100
26,København,1101
27,København,1102
28,København,1103
29,København,1104
30,København,1105
31,København,1106
32,København,1107
33,København,1110
34,København,1111
35,København,1112
36,København,1113
37,København,1114
38,København,1115
39,København,1116
40,København,1117
41,København,1118
42,København,1119
43,København,1120
44,København,1121
45,København,1122
46,København,1123
47,København,1124
48,København,1125
49,København,1126
50,København,1127
51,København,1128
52,København,1129
53,København,1130
54,København,1131
55,København,1150
56,København,1151
57,København,1152
58,København,1153
59,København,1154
60,København,1155
61,København,1156
62,København,1157
63,København,1158
64,København,1159
65,København,1160
66,København,1161
67,København,1162
68,København,1164
69,København,1165
70,København,1166
71,København,1167
72,København,1168
73,København,1169
74,København,1170
75,København,1171
76,København,1172
77,København,1173
78,København,1174
79,København,1175
80,København,1200
81,København,1201
82,København,1202
83,København,1203
84,København,1204
85,København,1205
86,København,1206
87,København,1207
88,København,1208
89,København,1209
90,København,1210
91,København,1211
92,København,1212
93,København,1213
94,København,1214
95,København,1215
96,København,1216
97,København,1218
98,København,1219
99,København,1220
100,København,1221
101,København,1250
102,København,1251
103,København,1252
104,København,1253
105,København,1254
106,København,1255
107,København,1256
108,København,1257
109,København,1259
110,København,1260
111,København,1261
112,København,1263
113,København,1264
114,København,1265
115,København,1266
116,København,1267
117,København,1268
118,København,1270
119,København,1271
120,København,1300
121,København,1301
122,København,1302
123,København,1303
124,København,1304
125,København,1306
126,København,1307
127,København,1308
128,København,1309
129,København,1310
130,København,1311
131,København,1312
132,København,1313
133,København,1314
134,København,1315
135,København,1316
136,København,1317
137,København,1318
138,København,1319
139,København,1320
140,København,1321
141,København,1322
142,København,1323
143,København,1324
144,København,1325
145,København,1326
146,København,1327
147,København,1328
148,København,1329
149,København,1350
150,København,1352
151,København,1353
152,København,1354
153,København,1355
154,København,1356
155,København,1357
156,København,1358
157,København,1359
158,København,1360
159,København,1361
160,København,1362
161,København,1363
162,København,1364
163,København,1365
164,København,1366
165,København,1367
166,København,1368
167,København,1369
168,København,1370
169,København,1371
170,København,1400
171,København,1401
172,København,1402
173,København,1403
174,København,1406
175,København,1407
176,København,1408
177,København,1409
178,København,1410
179,København,1411
180,København,1412
181,København,1413
182,København,1414
183,København,1415
184,København,1416
185,København,1417
186,København,1418
187,København,1419
188,København,1420
189,København,1421
190,København,1422
191,København,1423
192,København,1424
193,København,1425
194,København,1426
195,København,1427
196,København,1428
197,København,1429
198,København,1430
199,København,1432
200,København,1433
201,København,1434
202,København,1435
203,København,1436
204,København,1437
205,København,1438
206,København,1439
207,København,1440
208,København,1441
209,København,1450
210,København,1451
211,København,1452
212,København,1453
213,København,1454
214,København,1455
215,København,1456
216,København,1457
217,København,1458
218,København,1459
219,København,1460
220,København,1461
221,København,1462
222,København,1463
223,København,1464
224,København,1465
225,København,1466
226,København,1467
227,København,1468
228,København,1470
229,København,1471
230,København,1472
231,København,1473
232,København,1550
233,København,1551
234,København,1552
235,København,1553
236,København,1554
237,København,1555
238,København,1556
239,København,1557
240,København,1558
241,København,1559
242,København,1560
243,København,1561
244,København,1562
245,København,1563
246,København,1564
247,København,1567
248,København,1568
249,København,1569
250,København,1570
251,København,1571
252,København,1572
253,København,1573
254,København,1574
255,København,1575
256,København,1576
257,København,1577
258,København,1600
259,København,1601
260,København,1602
261,København,1603
262,København,1604
263,København,1605
264,København,1606
265,København,1607
266,København,1608
267,København,1609
268,København,1610
269,København,1611
270,København,1612
271,København,1613
272,København,1614
273,København,1615
274,København,1616
275,København,1617
276,København,1618
277,København,1619
278,København,1620
279,København,1621
280,København,1622
281,København,1623
282,København,1624
283,København,1631
284,København,1632
285,København,1633
286,København,1634
287,København,1635
288,København,1650
289,København,1651
290,København,1652
291,København,1653
292,København,1654
293,København,1655
294,København,1656
295,København,1657
296,København,1658
297,København,1659
298,København,1660
299,København,1661
300,København,1662
301,København,1663
302,København,1664
303,København,1665
304,København,1666
305,København,1667
306,København,1668
307,København,1669
308,København,1670
309,København,1671
310,København,1672
311,København,1673
312,København,1674
313,København,1675
314,København,1676
315,København,1677
316,København,1699
317,København,1700
318,København,1701
319,København,1702
320,København,1703
321,København,1704
322,København,1705
323,København,1706
324,København,1707
325,København,1708
326,København,1709
327,København,1710
328,København,1711
329,København,1712
330,København,1714
331,København,1715
332,København,1716
333,København,1717
334,København,1718
335,København,1719
336,København,1720
337,København,1721
338,København,1722
339,København,1723
340,København,1724
341,København,1725
342,København,1726
343,København,1727
344,København,1728
345,København,1729
346,København,1730
347,København,1731
348,København,1732
349,København,1733
350,København,1734
351,København,1735
352,København,1736
353,København,1737
354,København,1738
355,København,1739
356,København,1749
357,København,1750
358,København,1751
359,København,1752
360,København,1753
361,København,1754
362,København,1755
363,København,1756
364,København,1757
365,København,1758
366,København,1759
367,København,1760
368,København,1761
369,København,1762
370,København,1763
371,København,1764
372,København,1765
373,København,1766
374,København,1770
375,København,1771
376,København,1772
377,København,1773
378,København,1774
379,København,1775
380,København,1777
381,København,1799
382,Frederiksberg,1800
383,Frederiksberg,1801
384,Frederiksberg,1802
385,Frederiksberg,1803
386,Frederiksberg,1804
387,Frederiksberg,1805
388,Frederiksberg,1806
389,Frederiksberg,1807
390,Frederiksberg,1808
391,Frederiksberg,1809
392,København,1810
393,Frederiksberg,1811
394,Frederiksberg,1812
395,Frederiksberg,1813
396,Frederiksberg,1814
397,Frederiksberg,1815
398,Frederiksberg,1816
399,Frederiksberg,1817
400,Frederiksberg,1818
401,Frederiksberg,1819
402,Frederiksberg,1820
403,Frederiksberg,1822
404,Frederiksberg,1823
405,Frederiksberg,1824
406,Frederiksberg,1825
407,Frederiksberg,1826
408,Frederiksberg,1827
409,Frederiksberg,1828
410,Frederiksberg,1829
411,Frederiksberg,1850
412,Frederiksberg,1851
413,Frederiksberg,1852
414,Frederiksberg,1853
415,Frederiksberg,1854
416,Frederiksberg,1855
417,Frederiksberg,1856
418,Frederiksberg,1857
419,Frederiksberg,1860
420,Frederiksberg,1861
421,Frederiksberg,1862
422,Frederiksberg,1863
423,Frederiksberg,1864
424,Frederiksberg,1865
425,Frederiksberg,1866
426,Frederiksberg,1867
427,Frederiksberg,1868
428,Frederiksberg,1870
429,Frederiksberg,1871
